id,name,author,language,year,genre
OLP085,All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,War novel
OLP086,The Bermuda Triangle,Charles Berlitz,English,1974,-
OLP087,Things Fall Apart ,Chinua Achebe,English,1958,Novel
OLP088,Animal Farm ,George Orwell,English,1945,Satirical allegorical novella; Political satire
OLP089,Wolf Totem,Jiang Rong,Chinese,2004,Semi-autobiographical novel
OLP090,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,Memoir
OLP091,Jaws,Peter Benchley,English,1974,Thriller
OLP092,Love You Forever,Robert Munsch,English,1986,Children's literature; fiction
OLP093,The Women's Room,Marilyn French,English,1977,Feminist novel
OLP094,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,Pregnancy guide
OLP095,Adventures of Huckleberry Finn,Mark Twain,English,1885,satire
OLP096,The Secret Diary of Adrian Mole; Aged 13,Sue Townsend,English,1982
OLP097,Pride and Prejudice,Jane Austen,English,1813,Classic regency novel; romance
OLP098,Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,Norwegian,1950,Travel literature
OLP099,The Good Soldier ,Jaroslav Haek,Czech,1923,Unfinished satirical dark comedy novel
OLP100,Where the Wild Things Are,Maurice Sendak,English,1963,Children's picture book
OLP101,The Power of Positive Thinking,Norman Vincent Peale,English,1952,Self-help
OLP102,The Secret,Rhonda Byrne,English,2006,Self-help
OLP103,Fear of Flying,Erica Jong,English,1973,Romantic novel
OLP104,Dune,Frank Herbert,English,1965,Science fiction novel
OLP105,Charlie and the Chocolate Factory,Roald Dahl,English,1964,Children's fantasy novel
OLP106,The Naked Ape,Desmond Morris,English,1968,Social Science; Psychology
OLP107,Where the Crawdads Sing,Delia Owens,English,2018,Coming-of-age Murder mystery
OLP108,Totto-chan; the Little Girl at the Window,Tetsuko Kuroyanagi,Japanese,1981,Autobiographical novel
OLP109,Matilda,Roald Dahl,English,1988,Children's Literature
OLP110,The Book Thief,Markus Zusak,English,2005,Young Adult Fiction
OLP111,The Horse Whisperer,Nicholas Evans,English,1995,-
OLP112,Goodnight Moon,Margaret Wise Brown,English,1947,Children's Literature
OLP113,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,Children's Literature
OLP114,All the Light We Cannot See,Anthony Doerr,English,2014,Historical fiction
OLP115,Fifty Shades of Grey,E.L. James,English,2011,Erotica
OLP116,The Outsiders,S. E. Hinton,English,1967,-
OLP117,Guess How Much I Love You,Sam McBratney,English,1994,-
OLP118,Sh?gun,James Clavell,English,1975,-
OLP119,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,-
OLP120,The Pillars of the Earth,Ken Follett,English,1989,Historical fiction
OLP121,Perfume (Das Parfum),Patrick Saskind,German,1985,-
OLP122,The Grapes of Wrath,John Steinbeck,English,1939,-
OLP123,The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafen,Spanish,2001,-
OLP124,Interpreter of Maladies,Jhumpa Lahiri,English,2000,-
OLP125,Becoming,Michelle Obama,English,2018,-
OLP126,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,Science fiction
