name,author,language,ID,genre
Harry Potter and the Deathly Hallows,J. K. Rowling,English,OL007,Fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,OL988,Fantasy
The Catcher in the Rye,J. D. Salinger,English,OL951,Coming-of-age
The Bridges of Madison County,Robert James Waller,English,OL992,Romance
Ben-Hur: A Tale of the Christ,Lew Wallace,English,OL880,Historical fiction
